Type,Product,Started Date,Completed Date,Description,Amount,Fee,Currency,State,Balance
CARD_PAYMENT,Current,1/12/2023 17:19,1/13/2023 12:06,Viator,-79.35,0,EUR,COMPLETED,1246.28
CARD_PAYMENT,Current,1/13/2023 10:13,1/13/2023 15:26,Uber *trip Help.uber.c,-1.14,0,EUR,COMPLETED,1245.14
CARD_PAYMENT,Current,1/13/2023 8:24,1/13/2023 15:26,Uber * Pending,-1.52,0,EUR,COMPLETED,1243.62
ATM,Current,1/13/2023 10:00,1/14/2023 4:34,Cash at Ybl Paharganj2,-56.92,0,EUR,COMPLETED,1186.7
CARD_PAYMENT,Current,1/13/2023 5:33,1/14/2023 4:34,Tata Starbucks Private,-6.55,0,EUR,COMPLETED,1180.15
ATM,Current,1/14/2023 12:18,1/15/2023 4:29,Cash at New Delhi Main,-57.34,0.57,EUR,COMPLETED,1122.24
CARD_PAYMENT,Current,1/14/2023 5:53,1/15/2023 4:30,Afghan Store,-85.73,0.86,EUR,COMPLETED,1035.65
CARD_PAYMENT,Current,1/14/2023 3:49,1/15/2023 4:30,Tata Starbucks Private,-3.5,0.04,EUR,COMPLETED,1032.11
ATM,Current,1/15/2023 8:17,1/16/2023 4:34,Cash at Ybl Paharganj2,-57.34,0.57,EUR,COMPLETED,974.2
CARD_PAYMENT,Current,1/15/2023 12:06,1/16/2023 4:34,Reebok,-28.89,0.29,EUR,COMPLETED,945.02
CARD_PAYMENT,Current,1/14/2023 0:02,1/16/2023 11:20,Viatortripadvisor Uk,-49.92,0,EUR,COMPLETED,895.1
CARD_PAYMENT,Current,1/15/2023 12:55,1/17/2023 2:47,Twenty Four Seven,-11.3,0.11,EUR,COMPLETED,883.69
ATM,Current,1/16/2023 10:47,1/17/2023 4:31,Cash at Ybl Paharganj2,-56.85,0,EUR,COMPLETED,826.84